"Co","U:0","U:1","U:2","k","nut","omega","p","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","arc_length","Points:0","Points:1","Points:2"
5.6486,0.0009544,3.0647e-05,0.0024564,3.3006e-07,0,1163.2,-0.010621,-5.2133e-06,-1.1885e-07,-9.51e-06,0.084435,0.041817,0.022692,0,0.016511
6.5009,0.0011578,3.9071e-05,0.0022847,3.0956e-07,0,2073.9,-0.010657,-8.3568e-06,-1.969e-07,-1.1084e-05,0.062213,0.042287,0.022885,0,0.01694
6.0276,0.00091087,4.5934e-05,0.0024036,3.3698e-07,0,2250.6,-0.010713,-5.4922e-06,-2.3811e-07,-1.2655e-05,0.061173,0.04276,0.023072,0,0.017374
4.657,0.00066179,6.2961e-05,0.00023828,4.7494e-07,0,1500.1,-0.010763,-6.6215e-06,-2.6655e-07,-2.6389e-06,0.088713,0.043236,0.02325,0,0.017816
6.4907,0.00091643,7.3498e-05,-0.0027496,7.5526e-07,0,1734.6,-0.010802,-1.5079e-05,-3.393e-07,1.4784e-05,0.10333,0.043715,0.023422,0,0.018262
21.594,-0.00019166,8.2261e-05,-0.0055756,2.738e-06,0,1833,-0.010857,-7.1234e-06,-3.8677e-07,2.7893e-05,0.18856,0.044197,0.023587,0,0.018716
32.254,-0.0020406,0.00014389,-0.012466,9.0417e-06,0,1148.1,-0.01088,-4.7651e-07,-5.173e-07,4.6254e-05,0.44293,0.044685,0.023744,0,0.019177
33.281,-0.0028442,0.00020729,-0.018447,1.4944e-05,0,1027.5,-0.010899,-1.2141e-06,-7.421e-07,6.7446e-05,0.59327,0.045178,0.023893,0,0.019647
40.435,-0.0029933,0.00021671,-0.020912,1.8287e-05,0,1414.8,-0.01096,2.2459e-06,-9.0592e-07,8.9134e-05,0.5602,0.045678,0.024035,0,0.020127
40.596,-0.0029908,0.00021659,-0.020936,1.8355e-05,0,1427.4,-0.01096,2.2254e-06,-9.0876e-07,8.9609e-05,0.55934,0.045685,0.024037,0,0.020134
51.069,-0.0028297,0.000209,-0.022498,2.2831e-05,0,2245.6,-0.010991,8.949e-07,-1.0932e-06,0.00012045,0.50309,0.046185,0.024169,0,0.020616
78.91,-0.0037732,0.00024015,-0.027128,4.0176e-05,0,2236.8,-0.010981,6.7285e-06,-1.2308e-06,0.00014133,0.68166,0.046701,0.024296,0,0.021116
83.917,-0.0057451,0.00036261,-0.037819,6.1124e-05,0,1296.1,-0.010874,1.3371e-05,-1.3968e-06,0.00014864,1.1027,0.047227,0.024417,0,0.021628
76.689,-0.0063077,0.00041509,-0.041428,6.4479e-05,0,1131,-0.010816,1.5982e-05,-1.5235e-06,0.00015377,1.1945,0.047578,0.024487,0,0.021971
72.838,-0.0066074,0.00044304,-0.04335,6.6266e-05,0,1043.1,-0.010786,1.7373e-05,-1.591e-06,0.00015651,1.2434,0.047764,0.024525,0,0.022154
78.746,-0.0064484,0.00043564,-0.042965,6.5288e-05,0,1225.7,-0.010762,2.2826e-05,-1.6972e-06,0.00016741,1.1369,0.048312,0.024625,0,0.022693
78.999,-0.0063137,0.00043366,-0.043018,6.4867e-05,0,1279.3,-0.010737,2.3032e-05,-1.725e-06,0.00017098,1.111,0.04847,0.02465,0,0.022849
79.64,-0.0059733,0.00042866,-0.04315,6.3804e-05,0,1414.6,-0.010676,2.3554e-05,-1.7951e-06,0.00018002,1.0454,0.048869,0.024714,0,0.023243
79.234,-0.0056704,0.00042484,-0.042819,6.2439e-05,0,1487.9,-0.010626,2.3399e-05,-1.8235e-06,0.00018297,1.0098,0.04909,0.024745,0,0.023462
78.608,-0.005204,0.00041897,-0.042309,6.0338e-05,0,1600.6,-0.010548,2.3161e-05,-1.8673e-06,0.00018752,0.9549,0.04943,0.024793,0,0.023798
76.859,-0.0043392,0.00040655,-0.040867,5.5876e-05,0,1784.9,-0.010386,2.1568e-05,-1.9143e-06,0.00019113,0.86962,0.04999,0.024858,0,0.024354
74.876,-0.0033741,0.00038865,-0.038846,5.0306e-05,0,1990.4,-0.01022,1.8834e-05,-1.9323e-06,0.00019147,0.78132,0.050541,0.02491,0,0.024902
73.113,-0.0021028,0.00036135,-0.036074,4.4608e-05,0,2311.9,-0.010059,1.3625e-05,-1.9327e-06,0.00019097,0.68403,0.051076,0.02495,0,0.025436
76.578,-0.00070304,0.00032765,-0.032086,4.0166e-05,0,3131.5,-0.0098479,2.6869e-06,-2.0265e-06,0.00019669,0.56454,0.051594,0.024976,0,0.025953
95.48,-0.00018343,0.00035848,-0.032497,4.5414e-05,0,2783.2,-0.0096245,-1.6127e-06,-2.029e-06,0.00018531,0.66433,0.052094,0.024991,0,0.026454
85.213,-0.00090569,0.00049053,-0.039079,5.6531e-05,0,1372.5,-0.0094215,5.7811e-06,-1.9394e-06,0.00015678,1.047,0.052584,0.025,0,0.026943
79.963,-0.0011638,0.00050074,-0.037042,4.8785e-05,0,1360.7,-0.009227,1.0707e-05,-1.9823e-06,0.00014539,0.9822,0.053068,0.024994,0,0.027428
82.792,6.3197e-05,0.00035518,-0.028072,3.084e-05,0,2734.5,-0.0090359,5.1951e-06,-1.9703e-06,0.00015553,0.55257,0.053558,0.024982,0,0.027917
59.9,0.0014767,0.00033313,-0.026193,2.7638e-05,0,3051.9,-0.0088087,-5.9573e-06,-2.0139e-06,0.0001577,0.47576,0.054058,0.024959,0,0.028417
51.084,0.0021679,0.00040692,-0.026734,3.031e-05,0,2221.2,-0.0085964,-1.0137e-05,-2.1333e-06,0.00013958,0.57466,0.054576,0.024924,0,0.028933
46.322,0.0024866,0.0004469,-0.025193,2.9225e-05,0,1890,-0.008424,-9.5129e-06,-2.1663e-06,0.00012165,0.61031,0.055111,0.024877,0,0.029467
42.493,0.0027207,0.00047733,-0.023261,2.793e-05,0,1674.7,-0.0082674,-9.4331e-06,-2.1791e-06,0.00010583,0.63397,0.055661,0.024817,0,0.030013
